name,versionString,manager
eslint,^5.9.0,NPM
eslint-config-airbnb-base,^13.1.0,NPM
eslint-plugin-compat,^2.2.0,NPM
eslint-plugin-import,^2.17.2,NPM
eslint-plugin-node,^8.0.0,NPM
eslint-plugin-you-dont-need-lodash-underscore,^6.4.0,NPM
eslint-plugin-you-dont-need-momentjs,^1.3.2,NPM
git-hooks,^1.1.9,NPM
jest,^23.6.0,NPM
jest,^24.8.0,NPM
jest,^24.7.0,NPM
mandrill-api,^1.0.45,NPM
request,^2.88.0,NPM
snyk,^1.151.2,NPM
supertest,^3.3.0,NPM
aws-sdk,^2.474.0,NPM
bluebird,^3.5.5,NPM
knex,^0.12.9,NPM
knex,^0.17.6,NPM
mandrill-api,^1.0.45,NPM
mysql,^2.17.1,NPM
mysql2,^1.6.4,NPM
needle,^2.2.4,NPM
needle,^2.3.0,NPM
redis,^2.8.0,NPM
request-promise-native,^1.0.7,NPM
phpunit/phpunit,^7.4,Composer
rregeer/phpunit-coverage-check,^0.1.6,Composer
squizlabs/php_codesniffer,^3.3,Composer
aws/aws-sdk-php,3.73,Composer
ext-json,*,Composer
paragonie/random-lib,^2.0,Composer
pusher/pusher-php-server,^3.,Composer
sendgrid/sendgrid,~7,Composer
babel-eslint,^10.0.1,NPM
barrels,^1.6.5,NPM
esdoc,^1.1.0,NPM
esdoc-standard-plugin,^1.0.0,NPM
eslint,5.12.1,NPM
eslint-config-airbnb-base,13.1.0,NPM
eslint-plugin-compat,2.6.3,NPM
eslint-plugin-import,2.15.0,NPM
eslint-plugin-mocha,5.3.0,NPM
eslint-plugin-node,8.0.1,NPM
eslint-plugin-you-dont-need-lodash-underscore,6.4.0,NPM
eslint-plugin-you-dont-need-momentjs,1.4.0,NPM
husky,^3.0.9,NPM
lint-diff,^1.2.1,NPM
lint-staged,^9.4.3,NPM
mocha,^5.0.4,NPM
mock-knex,^0.4.2,NPM
nock,^9.2.3,NPM
nyc,^12.0.2,NPM
sails-memory,^0.10.7,NPM
should,^13.2.1,NPM
sinon,^4.4.6,NPM
snyk,1.122.4,NPM
supertest,3.4.2,NPM
@newrelic/native-metrics,^3.1.0,NPM
@sendgrid/mail,^6.4.0,NPM
aws-sdk,^2.541.0,NPM
bcrypt,^3.0.0,NPM
bluebird,^3.1.1,NPM
chance,^0.8.0,NPM
checkdigit,^1.1.1,NPM
crc,^3.5.0,NPM
cron-parser,^2.6.0,NPM
elasticsearch,^14.0.0,NPM
fast-csv,^2.4.1,NPM
handlebars,^4.0.10,NPM
html-pdf,^2.1.0,NPM
include-all,~0.1.3,NPM
json2csv,3.2.0,NPM
jsonwebtoken,^5.4.1,NPM
knex,^0.15.2,NPM
lodash,^3.10.1,NPM
machinepack-mandrill,^1.1.0,NPM
mandrill-api,^1.0.45,NPM
moment,^2.10.6,NPM
mysql,^2.16.0,NPM
needle,^0.11.0,NPM
newrelic,^4.7.0,NPM
node-jose,^0.11.1,NPM
nuban,^1.0.4,NPM
numeral,^2.0.5,NPM
passport,^0.3.0,NPM
passport-local,^1.0.0,NPM
pusher,^2.0.0,NPM
qr-image,^3.2.0,NPM
rc,~0.5.0,NPM
redis,^2.6.5,NPM
rollbar,^2.4.1,NPM
s3,^4.4.0,NPM
s3fs,^2.4.5,NPM
sails,^0.12.13,NPM
sails-disk,~0.10.0,NPM
sails-mongo,^0.11.4,NPM
sails-mysql,^0.11.2,NPM
sails-validation-messages,0.0.0,NPM
sha512,0.0.1,NPM
skipper,0.8.7,NPM
skipper-s3,0.5.6,NPM
slack-notify,^0.1.6,NPM
twilio,^2.11.1,NPM
winston,^2.1.1,NPM
winston-loggly,^1.2.0,NPM
winston-logstash-udp,^0.2.1,NPM
@commitlint/cli,^8.2.0,NPM
@commitlint/config-conventional,^8.2.0,NPM
@types/jest,^24.0.18,NPM
@types/node,^12.7.0,NPM
@types/redis-mock,^0.17.0,NPM
@types/sinon,^7.0.13,NPM
@typescript-eslint/eslint-plugin,^2.1.0,NPM
@typescript-eslint/parser,^2.1.0,NPM
commitizen,^4.0.3,NPM
cz-conventional-changelog,^3.0.2,NPM
eslint,^6.3.0,NPM
eslint-config-airbnb,^18.0.1,NPM
eslint-config-airbnb-base,^14.0.0,NPM
eslint-plugin-import,^2.18.2,NPM
eslint-plugin-you-dont-need-lodash-underscore,^6.7.0,NPM
husky,^3.0.5,NPM
jest,^24.9.0,NPM
redis-mock,^0.47.0,NPM
sinon,^7.4.2,NPM
ts-jest,^24.0.2,NPM
ts-node,^8.3.0,NPM
typedoc,^0.15.0,NPM
typescript,^3.5.3,NPM
@types/redis,^2.8.14,NPM
redis,^2.8.0,NPM
@commitlint/cli,^8.2.0,NPM
@commitlint/config-conventional,^8.2.0,NPM
@types/chai,^4.1.7,NPM
@types/mocha,^5.2.7,NPM
@types/node,^12.6.8,NPM
@typescript-eslint/eslint-plugin,^2.1.0,NPM
@typescript-eslint/parser,^2.1.0,NPM
ajv,^6.10.2,NPM
chai,^4.2.0,NPM
commitizen,^4.0.3,NPM
cz-conventional-changelog,^3.0.2,NPM
eslint,^6.3.0,NPM
eslint-config-airbnb,^18.0.1,NPM
eslint-config-airbnb-base,^14.0.0,NPM
eslint-plugin-import,^2.18.2,NPM
husky,^3.1.0,NPM
mocha,^6.2.0,NPM
ts-node,^8.3.0,NPM
typedoc,^0.15.0,NPM
typescript,^3.5.3,NPM
@commitlint/cli,^8.2.0,NPM
@commitlint/config-conventional,^8.2.0,NPM
@types/jest,^24.0.18,NPM
@types/node,^12.7.0,NPM
@types/sinon,^7.0.13,NPM
@typescript-eslint/eslint-plugin,^2.1.0,NPM
@typescript-eslint/parser,^2.1.0,NPM
ajv,^6.10.2,NPM
commitizen,^4.0.3,NPM
cz-conventional-changelog,^3.0.2,NPM
eslint,^6.3.0,NPM
eslint-config-airbnb,^18.0.1,NPM
eslint-config-airbnb-base,^14.0.0,NPM
eslint-plugin-import,^2.18.2,NPM
eslint-plugin-you-dont-need-lodash-underscore,^6.7.0,NPM
husky,^3.0.5,NPM
jest,^24.9.0,NPM
sinon,^7.4.2,NPM
ts-jest,^24.0.2,NPM
ts-node,^8.3.0,NPM
typedoc,^0.15.0,NPM
typescript,^3.5.3,NPM
winston-logstash-udp,^0.2.1,NPM
@types/winston,^2.4.4,NPM
lodash,^4.17.15,NPM
winston,^2.1.1,NPM
@commitlint/cli,^8.2.0,NPM
@commitlint/config-conventional,^8.2.0,NPM
@types/jest,^24.0.18,NPM
@types/node,^12.7.0,NPM
@types/sinon,^7.0.13,NPM
@typescript-eslint/eslint-plugin,^2.1.0,NPM
@typescript-eslint/parser,^2.1.0,NPM
commitizen,^4.0.3,NPM
cz-conventional-changelog,^3.0.2,NPM
eslint,^6.3.0,NPM
eslint-config-airbnb,^18.0.1,NPM
eslint-config-airbnb-base,^14.0.0,NPM
eslint-plugin-import,^2.18.2,NPM
eslint-plugin-you-dont-need-lodash-underscore,^6.7.0,NPM
husky,^3.0.5,NPM
jest,^24.9.0,NPM
sinon,^7.4.2,NPM
ts-jest,^24.0.2,NPM
ts-node,^8.3.0,NPM
typedoc,^0.15.0,NPM
typescript,^3.5.3,NPM
aws-sdk,^2.577.0,NPM
babel-eslint,^10.0.1,NPM
barrels,^1.6.5,NPM
esdoc,^1.1.0,NPM
esdoc-standard-plugin,^1.0.0,NPM
eslint,5.12.1,NPM
eslint-config-airbnb-base,13.1.0,NPM
eslint-plugin-compat,2.6.3,NPM
eslint-plugin-import,2.15.0,NPM
eslint-plugin-mocha,5.3.0,NPM
eslint-plugin-node,8.0.1,NPM
eslint-plugin-you-dont-need-lodash-underscore,6.4.0,NPM
eslint-plugin-you-dont-need-momentjs,1.4.0,NPM
grunt,^1.0.1,NPM
grunt-cli,^1.2.0,NPM
husky,^3.0.5,NPM
lint-diff,^1.2.1,NPM
lint-staged,^9.2.5,NPM
mocha,^3.5.0,NPM
mock-knex,^0.4.6,NPM
nock,^9.0.14,NPM
nyc,^12.0.2,NPM
sails-memory,^0.10.7,NPM
should,^11.2.1,NPM
sinon,^4.3.0,NPM
snyk,1.122.4,NPM
supertest,3.4.2,NPM
@hapi/joi,^17.1.0,NPM
aws-sdk,^2.437.0,NPM
base64-js,^1.3.0,NPM
bluebird,^3.4.6,NPM
chalk,^2.4.2,NPM
chance,^1.0.4,NPM
credit-card-type,^6.2.0,NPM
google-libphonenumber,^2.0.7,NPM
html-entities,^1.2.1,NPM
ieee754,^1.1.11,NPM
include-all,~0.1.6,NPM
js2xmlparser,^3.0.0,NPM
knex,^0.19.4,NPM
lodash,^4.16.1,NPM
mock-knex,^0.4.6,NPM
moment,^2.15.2,NPM
mysql,^2.17.1,NPM
needle,^1.1.2,NPM
newrelic,^5.5.0,NPM
node-forge,^0.6.42,NPM
node-jsencrypt,^1.0.0,NPM
node-rsa,^0.4.2,NPM
rc,1.0.1,NPM
redis,^2.8.0,NPM
sails,~0.12.4,NPM
sails-disk,~0.10.9,NPM
sails-mysql,^0.11.5,NPM
sha512,0.0.1,NPM
slack-notify,^0.1.6,NPM
strong-soap,^1.5.0,NPM
twilio,^2.11.1,NPM
uuid,^2.0.3,NPM
winston,^2.2.0,NPM
winston-loggly,^1.3.1,NPM
winston-logstash-udp,^0.2.1,NPM
xml2js,^0.4.19,NPM
@babel/core,^7.4.3,NPM
@babel/preset-env,^7.4.3,NPM
autoprefixer,^6.3.7,NPM
babel-eslint,^9.0.0,NPM
browser-sync,^2.26.3,NPM
cypress,^3.2.0,NPM
del,^3.0.0,NPM
delete-empty,^2.0.0,NPM
dotenv,^7.0.0,NPM
eslint,^5.16.0,NPM
eslint-config-airbnb-base,^13.1.0,NPM
eslint-plugin-angular,^3.3.0,NPM
eslint-plugin-import,^2.16.0,NPM
gulp,^3.9.1,NPM
gulp-babel,^8.0.0,NPM
gulp-concat,^2.6.1,NPM
gulp-csso,^3.0.1,NPM
gulp-hash,^4.2.2,NPM
gulp-htmlmin,^5.0.1,NPM
gulp-inject,5.0.2,NPM
gulp-less,^4.0.1,NPM
gulp-newer,^1.4.0,NPM
gulp-ng-annotate,^2.1.0,NPM
gulp-sequence,^1.0.0,NPM
gulp-sourcemaps,^2.6.5,NPM
gulp-template,^5.0.0,NPM
gulp-uglify,^3.0.2,NPM
